week,event,pool,Year,season,chla
1,1,-6,2003,Spring,NA
1,2,-3,2003,Spring,NA
1,3,0,2003,Spring,NA
1,4,5,2003,Spring,NA
1,5,9,2003,Spring,NA
1,6,13,2003,Spring,NA
1,7,-6,2003,Spring,3104.832
1,8,-3,2003,Spring,1341.27
1,9,0,2003,Spring,3635.999
1,10,5,2003,Spring,3863.422
1,11,9,2003,Spring,2207.483
1,12,13,2003,Spring,2210.632
2,13,-6,2004,Spring,5000.7
2,14,-2,2004,Spring,682.232
2,15,0,2004,Spring,4315.271
2,16,5,2004,Spring,3019.436
2,17,9,2004,Spring,6119.169
2,18,13,2004,Spring,4719.388
3,19,-9,2005,Spring,1583.844
3,20,-6,2005,Spring,1251.701
3,21,0,2005,Spring,884.615
3,22,8,2005,Spring,7590.405
3,23,13,2005,Spring,2651.895
3,24,15,2005,Spring,2501.458
4,25,-9,2006,Spring,1461.358
4,26,-6,2006,Spring,2004.843
4,27,0,2006,Spring,3404.859
4,28,8,2006,Spring,6538.927
4,29,13,2006,Spring,916.022
4,30,15,2006,Spring,3446.489
5,31,-9,2007,Spring,3034.392
5,32,-6,2007,Spring,2597.349
5,33,0,2007,Spring,3223.317
5,34,8,2007,Spring,4525.58
5,35,13,2007,Spring,2190.476
5,36,15,2007,Spring,1687.075
6,37,-9,2008,Spring,1955.122
6,38,-6,2008,Spring,3044.548
6,39,0,2008,Spring,4001.119
6,40,8,2008,Spring,6828.98
6,41,13,2008,Spring,1918.773
6,42,15,2008,Spring,2073.664
7,43,-9,2009,Spring,2200.402
7,44,-6,2009,Spring,2664.236
7,45,0,2009,Spring,2856.725
7,46,8,2009,Spring,5669.578
7,47,13,2009,Spring,1835.604
7,48,15,2009,Spring,1874.216
8,49,-9,2010,Spring,2325.442
8,50,-6,2010,Spring,2516.784
8,51,0,2010,Spring,2818.193
8,52,8,2010,Spring,5909.571
8,53,13,2010,Spring,1626.186
8,54,15,2010,Spring,1580.674
9,55,-9,2011,Spring,NA
9,56,-6,2011,Spring,NA
9,57,0,2011,Spring,NA
9,58,8,2011,Spring,NA
9,59,13,2011,Spring,NA
9,60,15,2011,Spring,NA
10,61,-9,2012,Spring,944.7
10,62,-6,2012,Spring,2147.526
10,63,0,2012,Spring,922.784
10,64,8,2012,Spring,1831.413
10,65,13,2012,Spring,517.007
10,66,15,2012,Spring,515.925
11,67,-9,2013,Spring,652.877
11,68,-6,2013,Spring,766.223
11,69,0,2013,Spring,1284.756
11,70,8,2013,Spring,292.673
11,71,13,2013,Spring,542.132
11,72,15,2013,Spring,316.149
12,73,-9,2014,Spring,3155.6321
12,74,-6,2014,Spring,2088.0671
12,75,0,2014,Spring,2700.872
12,76,8,2014,Spring,597.6363
12,77,13,2014,Spring,1904.0422
12,78,15,2014,Spring,2107.9722
13,79,-9,2015,Spring,4242.4415
13,80,-6,2015,Spring,1681.2744
13,81,0,2015,Spring,2331.3757
13,82,8,2015,Spring,2567.6511
13,83,13,2015,Spring,2162.3751
13,84,15,2015,Spring,1967.007
14,85,-9,2016,Spring,NA
14,86,-6,2016,Spring,NA
14,87,0,2016,Spring,NA
14,88,8,2016,Spring,NA
14,89,13,2016,Spring,NA
14,90,15,2016,Spring,NA
1,7,-6,2003,Summer,2557.823
1,8,-3,2003,Summer,2456.207
1,9,0,2003,Summer,2081.135
1,10,5,2003,Summer,1933.333
1,11,9,2003,Summer,3792.165
1,12,13,2003,Summer,4989.116
2,13,-6,2004,Summer,1287.504
2,14,-2,2004,Summer,299.056
2,15,0,2004,Summer,2761.73
2,16,5,2004,Summer,474.69
2,17,9,2004,Summer,5999.411
2,18,13,2004,Summer,3779.048
3,19,-9,2005,Summer,416.916
3,20,-6,2005,Summer,347.695
3,21,0,2005,Summer,512.275
3,22,8,2005,Summer,609.907
3,23,13,2005,Summer,532.204
3,24,15,2005,Summer,401.148
4,25,-9,2006,Summer,545.773
4,26,-6,2006,Summer,844.476
4,27,0,2006,Summer,2349.83
4,28,8,2006,Summer,2542.517
4,29,13,2006,Summer,1881.73
4,30,15,2006,Summer,1601.256
5,31,-9,2007,Summer,1597.114708
5,32,-6,2007,Summer,1378.117914
5,33,0,2007,Summer,2231.514345
5,34,8,2007,Summer,829.3650794
5,35,13,2007,Summer,1523.809524
5,36,15,2007,Summer,2558.984569
6,37,-9,2008,Summer,6499.546
6,38,-6,2008,Summer,2283.835
6,39,0,2008,Summer,2880.173
6,40,8,2008,Summer,2656.533
6,41,13,2008,Summer,2245.019
6,42,15,2008,Summer,1823.211
7,43,-9,2009,Summer,505.559
7,44,-6,2009,Summer,1796.033
7,45,0,2009,Summer,2582.957
7,46,8,2009,Summer,1579.915
7,47,13,2009,Summer,2737.989
7,48,15,2009,Summer,913.542
8,49,-9,2010,Summer,488.374
8,50,-6,2010,Summer,1943.154
8,51,0,2010,Summer,1765.312
8,52,8,2010,Summer,1229.167
8,53,13,2010,Summer,3117.65
8,54,15,2010,Summer,1540.762
9,55,-9,2011,Summer,1093.383
9,56,-6,2011,Summer,1700.68
9,57,0,2011,Summer,1324.015
9,58,8,2011,Summer,1741.406
9,59,13,2011,Summer,1945.578
9,60,15,2011,Summer,1687.075
10,61,-9,2012,Summer,941.681
10,62,-6,2012,Summer,1455.487
10,63,0,2012,Summer,785.714
10,64,8,2012,Summer,1559.14
10,65,13,2012,Summer,372.345
10,66,15,2012,Summer,1002.256
11,67,-9,2013,Summer,2795.9317
11,68,-6,2013,Summer,722.2949
11,69,0,2013,Summer,1244.4203
11,70,8,2013,Summer,1996.9013
11,71,13,2013,Summer,1515.3927
11,72,15,2013,Summer,578.9989
12,73,-9,2014,Summer,786.3422
12,74,-6,2014,Summer,885.5964
12,75,0,2014,Summer,521.701
12,76,8,2014,Summer,1539.5857
12,77,13,2014,Summer,3792.2425
12,78,15,2014,Summer,813.4163
13,79,-9,2015,Summer,48.38345865
13,80,-6,2015,Summer,119.047619
13,81,0,2015,Summer,53.35459184
13,82,8,2015,Summer,219.7278912
13,83,13,2015,Summer,134.0348639
13,84,15,2015,Summer,95.23809524
14,85,-9,2016,Summer,1045.502514
14,86,-6,2016,Summer,1011.064973
14,87,0,2016,Summer,541.3298289
14,88,8,2016,Summer,1054.369527
14,89,13,2016,Summer,967.6697531
14,90,15,2016,Summer,1039.707109
