Week,Mean,SD
2010-11-04,0.7145,0.1265
2010-11-17,0.4644,0.0982
2010-12-01,0.5013,0.0807
2010-12-16,0.4418,0.1008
2011-01-12,0.4167,0.116
2011-01-27,0.7968,0.2023
2011-02-09,0.7225,0.2344
2011-02-23,0.4814,0.1748
2011-03-09,3.0136,1.9401
2011-03-23,0.6317,0.1382
2011-04-19,0.59,0.1352
2011-05-04,0.9992,0.3391
2011-05-18,1.806,0.7546
2011-06-02,1.7017,0.3196
2011-06-15,2.5302,1.1105
2011-07-29,1.1824,0.2916
2011-07-13,0.818,0.1229
2011-07-26,1.0161,0.2493
2011-08-10,1.0803,0.2638
2011-07-09,1.6241,0.4269
2011-09-21,1.3407,0.3537
2011-10-05,0.5828,0.0867
2011-10-19,0.7535,0.226
2011-11-02,0.6409,0.064
2011-11-16,0.3868,0.0827
2011-11-30,0.4357,0.1163
2011-12-14,0.5615,0.179
2012-01-11,0.4018,0.1013
2012-01-25,0.7146,0.1795
2012-02-08,0.9735,0.3905
2012-02-22,0.7226,0.2334
2012-03-07,0.7046,0.1178
2012-03-23,0.632,0.1072
2012-04-04,0.6565,0.1677
2012-04-18,1.4529,0.3046
2012-05-02,1.8874,0.4908
2012-05-16,2.1664,0.866
2012-05-29,2.4396,0.5657
2012-06-13,2.8366,0.9503
2012-06-28,0.9288,0.263
2012-07-11,0.9599,0.1685
2012-07-24,0.8919,0.1941
2012-08-08,0.6512,0.1353
2012-08-22,1.0093,0.2959
2012-09-10,1.2866,0.3655
2012-09-19,0.9165,0.1175
2012-10-03,1.3673,0.427
2012-10-17,0.602,0.1659
2012-11-01,0.6407,0.1581
2012-11-14,0.8533,0.2854
2012-11-28,0.3202,0.072
2012-12-14,0.443,0.1056
2012-12-27,0.3339,0.181
2013-01-10,0.3956,0.1114
2013-01-23,0.3293,0.0728
2013-02-06,0.4575,0.1703
2013-02-20,0.4545,0.1416
2013-03-06,0.6644,0.1909
2013-03-20,0.5106,0.0974
2013-04-03,0.9453,0.2641
2013-04-15,0.7696,0.2038
2013-05-01,1.089,0.3074
2013-05-15,1.7535,0.6317
2013-05-29,1.6717,0.3844
2013-06-12,1.4613,0.3419
2013-06-24,1.0174,0.1771
2013-07-10,0.6783,0.0887
2013-07-24,0.5944,0.1274
2013-08-14,0.8917,0.2165
2013-08-26,1.2836,0.5112
2013-09-10,1.2085,0.6074
2013-09-24,1.0549,0.3338
2013-10-08,0.9038,0.2307
2013-10-25,0.5205,0.147
2013-11-04,0.961,0.2419
2013-11-18,0.6741,0.1607
2013-12-09,0.7636,0.2158
2013-12-23,0.5301,0.1568
2014-01-08,0.5539,0.0987
2014-01-22,0.5074,0.1521
2014-02-05,0.4309,0.0758
2014-02-19,0.6882,0.1408
2014-03-05,0.3988,0.0902
2014-03-19,0.4036,0.1128
2014-04-02,0.8731,0.1727
2014-04-16,0.9681,0.2742
2014-04-30,1.239,0.3153
2014-05-28,1.4043,0.3472
2014-06-11,0.722,0.2159
2014-06-25,0.597,0.1063
2014-07-09,0.8862,0.0881
2014-07-23,0.7258,0.2396
2014-08-05,1.0635,0.1861
2014-08-20,0.9171,0.2286
2014-10-07,0.5161,0.1121
2014-10-22,1.319,0.25
2014-11-07,1.8044,0.389
2014-11-25,0.5864,0.1521
2014-12-09,0.4629,0.107
2015-01-13,0.1871,0.0281
2015-01-29,0.4703,0.1295
2015-02-13,0.7558,0.2006
2015-02-27,1.0602,0.1526
2015-03-09,0.4494,0.0928
2015-03-30,0.8289,0.1244
2015-04-16,0.6413,0.2152
2015-04-30,1.1189,0.6631
2015-05-12,7.5553,1.1179
2015-05-26,1.5753,0.3263
2015-06-09,1.6834,0.5087
2015-06-23,0.7651,0.3091
2015-07-06,1.3924,0.2058
2015-07-27,0.8756,0.1514
2015-08-12,1.0731,0.169
2015-08-24,0.923,0.2838
2015-09-08,0.9666,0.1986
2015-09-21,3.2128,0.8111
2015-10-05,1.925,0.4801
2015-10-19,0.8099,0.1256
2015-11-02,0.3198,0.0879
2015-11-16,0.7568,0.1598
2015-12-08,0.3899,0.0831
2015-12-21,0.9371,0.2244
2016-01-04,0.5807,0.1473
2016-01-19,0.6875,0.1996
2016-02-01,0.8316,0.2513
2016-02-19,0.3999,0.0385
2016-02-29,1.1737,0.2546
2016-03-14,0.703,0.204
2016-03-28,1.2689,0.1973
2016-04-11,1.1451,0.3251
2016-04-28,1.5563,0.4435
2016-05-09,2.0738,0.5509
2016-05-23,1.8752,0.5881
2016-06-06,0.5312,0.2285
2016-06-20,0.6823,0.2503
2016-07-05,1.0296,0.1486
2016-07-20,1.1862,0.2553
2016-08-02,1.1374,0.1956
2016-08-29,0.4827,0.0715
2016-09-14,0.5379,0.1568
2016-09-26,0.768,0.1285
2016-10-12,1.1218,0.1526
2016-10-25,0.7551,0.1789
2016-11-15,0.7219,0.0937
2016-11-29,0.5286,0.1381
2016-12-12,0.6889,0.1818
2016-12-28,0.7419,0.1663
2017-01-10,0.4981,0.1018
2017-01-24,0.3723,0.0824
2017-02-10,0.8398,0.11
2017-02-21,0.575,0.1454
2017-03-06,1.2488,0.2845
2017-03-20,0.7629,0.1178
2017-04-03,1.3064,0.2908
2017-04-18,1.5545,0.2101
2017-05-05,1.9807,0.5603
2017-05-16,2.4686,0.3563
2017-06-17,2.4341,0.4637
2017-06-19,1.6222,0.3419
2017-07-05,1.9934,0.6663
2017-07-21,1.5563,0.396
2017-08-14,1.1474,0.2395
2017-08-29,2.0507,0.4011
2017-09-15,8.4199,1.4149
2017-10-18,2.8607,0.3838
2017-10-30,0.5801,0.2639
2017-11-14,0.5438,0.2377
2017-11-30,0.248,0.1271
2017-12-13,0.5031,0.3041
2017-12-29,0.441,0.1868
2018-01-23,0.2849,0.0869
2018-01-31,0.6368,0.1086
2018-02-16,0.2709,0.0597
2018-02-28,0.4789,0.1019
2018-03-14,0.3987,0.0497
2018-03-28,0.6042,0.1066
2018-04-13,0.8476,0.2126
2018-04-26,0.7696,0.1542
2018-05-16,0.6945,0.1715
2018-05-30,0.438,0.1099
2018-06-15,0.6182,0.0944
2018-06-29,0.5432,0.1249
2018-07-16,0.5639,0.1329
2018-07-30,0.5071,0.0931
2018-08-14,0.3137,0.0717
2018-08-28,0.5728,0.0998
2018-09-17,0.549,0.1594
2018-09-28,0.5268,0.146
2018-10-12,0.4652,0.1194
2018-10-30,0.4069,0.0963
2018-11-15,0.3804,0.0871
2018-11-30,0.4615,0.1628
2018-12-13,0.285,0.0668
2018-12-31,0.6177,0.2527
2019-01-18,0.3071,0.0768
2019-01-31,0.8828,0.6851
2019-02-15,0.5769,0.1716
2019-02-25,0.5695,0.1474
2019-03-14,0.4297,0.0622
2019-03-29,0.6549,0.168
2019-04-15,0.8407,0.2371
2019-04-29,1.0623,0.2382
2019-05-17,1.0689,0.3716
2019-05-29,0.653,0.1204
2019-06-18,0.837,0.1388
2019-06-30,1.1383,0.2132
2019-07-19,0.8377,0.1528
2019-07-31,0.6464,0.1621
2019-08-15,0.5158,0.0633
2019-08-27,0.6758,0.2638
2019-09-16,0.776,0.183
2019-09-27,0.4509,0.072
2019-10-15,0.505,0.1062
2019-10-29,0.4973,0.1111
2019-11-14,0.4005,0.1579
2019-11-27,0.2555,0.0909
2019-12-13,0.4063,0.1619
2019-12-27,1.2252,0.6577
2020-01-16,1.1073,0.6384
2020-01-31,0.3138,0.0896
2020-02-13,0.5288,0.1584
2020-02-28,0.1918,0.1061
2020-03-12,0.4353,0.1428
2020-04-16,0.4287,0.0896
2020-06-15,0.3254,0.0913
