date,delta13C_P,delta15N_P,delta13C_T,delta15N_T,month
1,-31.901,5.804786424,-32.062,0.443,feb_17
1,-31.816,5.902723663,-32.204,0.175,feb_17
1,-31.422,6.541428571,-32.196,0.907,feb_17
1,-31.631,5.995857143,-31.838,0.711,feb_17
2,-26.274,2.931,-31.728,0.971,nov_17
2,-26.316,2.16,-31.627,0.953,nov_17
2,-26.389,2.906,-31.654,0.642,nov_17
2,-26.3,1.655,-31.257,1.152,nov_17
3,-27.745,6.834,-29.911,3.782,june_18
3,-28.434,7.084,-29.783,3.709,june_18
3,-28.023,6.501,-29.653,3.597,june_18
3,-27.887,6.357,-29.773,3.616,june_18
4,-27.96757143,3.95,-28.485,1.055,feb_19
4,-27.7495,4.125,-28.281,1.463,feb_19
4,-27.89342857,4.455,-28.566,0.941,feb_19
5,-27.25526166,2.215885533,-30.45618835,-0.181343181,feb_20
5,-27.49714295,0.421949837,-29.9894564,-1.60125629,feb_20
5,-31.01141124,NA,-30.6773334,-1.591636,feb_20
5,NA,NA,-30.0758176,-1.653195142,feb_20
